graph,n,nnz,d,method,matvecs,iterations,time_s,converged,diverged,residual,speedup,l1_agreement,precision_at_100,safeguard_hits,r_clip_hits,backtracks,nu,dangling,lambda2_measured,lambda2_over_d,predicted_speedup
wiki-Vote,7115,103689,0.85,power,39,38,0.003223499981686473,True,False,5.282302429862019e-13,1.0,3.330533548603909e-16,1.0,0,0,0,1.000000000000063,1005,0.5014274647574107,0.5899146644204832,1.9030442450334157
wiki-Vote,7115,103689,0.85,static_d,78,77,0.0068445829674601555,True,False,9.326372228261045e-13,0.5,5.554109825051459e-13,1.0,0,0,0,1.0000000000000702,1005,0.5014274647574107,0.5899146644204832,1.9030442450334157
wiki-Vote,7115,103689,0.85,dynamic_paper,1018,1017,0.08964208303950727,False,True,0.13281215435507,,0.06123100915711854,0.92,0,0,0,0.9734996650804053,1005,0.5014274647574107,0.5899146644204832,1.9030442450334157
wiki-Vote,7115,103689,0.85,dynamic_safe,68,67,0.005782290827482939,True,False,8.870587393731082e-13,0.5735294117647058,5.181094133365968e-13,1.0,0,57,0,0.9999999999999238,1005,0.5014274647574107,0.5899146644204832,1.9030442450334157
wiki-Vote,7115,103689,0.85,dynamic_guard,68,67,0.0057511660270392895,True,False,8.870587393731082e-13,0.5735294117647058,5.181094133365968e-13,1.0,0,57,0,0.9999999999999238,1005,0.5014274647574107,0.5899146644204832,1.9030442450334157
cit-HepPh,34546,421534,0.85,power,126,125,0.04095962503924966,True,False,9.141576513362754e-13,1.0,0.0,1.0,0,0,0,0.9999999999999828,2393,0.8500000000000026,1.000000000000003,3.6037748596460086
cit-HepPh,34546,421534,0.85,static_d,162,161,0.055179832968860865,True,False,7.628743140426123e-13,0.7777777777777778,6.438762199058095e-13,1.0,0,0,0,1.0000000000001363,2393,0.8500000000000026,1.000000000000003,3.6037748596460086
cit-HepPh,34546,421534,0.85,dynamic_paper,1005,1004,0.3496755000669509,False,True,0.202049793689801,,0.1280040174041986,0.87,0,0,0,1.0150714335386881,2393,0.8500000000000026,1.000000000000003,3.6037748596460086
cit-HepPh,34546,421534,0.85,dynamic_safe,153,152,0.05290562496520579,True,False,7.839019340056243e-13,0.8235294117647058,6.592111059767428e-13,1.0,0,148,0,1.0000000000001434,2393,0.8500000000000026,1.000000000000003,3.6037748596460086
cit-HepPh,34546,421534,0.85,dynamic_guard,153,152,0.051830166950821877,True,False,7.839019340056243e-13,0.8235294117647058,6.592111059767428e-13,1.0,0,148,0,1.0000000000001434,2393,0.8500000000000026,1.000000000000003,3.6037748596460086
web-Stanford,281903,2312497,0.85,power,152,151,0.4984433329664171,True,False,8.613677804511963e-13,1.0,0.0,1.0,0,0,0,0.9999999999999538,172,0.8500000000000255,1.00000000000003,3.603774859646291
web-Stanford,281903,2312497,0.85,static_d,1014,1013,3.612619792111218,False,True,0.8473015769602272,,1.9998057413285761,0.0,0,0,0,-0.0027390592317367117,172,0.8500000000000255,1.00000000000003,3.603774859646291
web-Stanford,281903,2312497,0.85,dynamic_paper,1006,1005,3.583382584154606,False,True,0.7660110396921175,,0.24381109264990553,0.77,0,0,0,0.5301474445240113,172,0.8500000000000255,1.00000000000003,3.603774859646291
web-Stanford,281903,2312497,0.85,dynamic_safe,362,349,1.3012555001769215,True,False,9.020104931182395e-13,0.4198895027624309,5.546165187519388e-13,1.0,0,342,4,1.0000000000000009,172,0.8500000000000255,1.00000000000003,3.603774859646291
web-Stanford,281903,2312497,0.85,dynamic_guard,312,308,1.098093125037849,True,False,9.59081045540087e-13,0.48717948717948717,5.590662121580361e-13,1.0,0,304,1,1.000000000000003,172,0.8500000000000255,1.00000000000003,3.603774859646291
