graph,n,d,method,matvecs,iterations,time_s,converged,diverged,residual,speedup,predicted_speedup,theoretical_rate,observed_rate,l1_agreement,safeguard_hits,backtracks,beta_opt,beta_final
cit-HepPh,34546,0.85,power,126,125,0.04231679090298712,True,False,9.141576513362754e-13,1.0,3.603774859645975,0.85,0.8499885391204547,0.0,0,0,0.18062499999999998,0.0
cit-HepPh,34546,0.85,static_d,162,161,0.058320458978414536,True,False,7.628743140426123e-13,0.7777777777777778,3.603774859645975,0.5567262498321919,0.8436270260401576,6.438762199058095e-13,0,0,0.18062499999999998,0.18062499999999998
cit-HepPh,34546,0.85,dynamic_paper,1005,1004,0.3505686658900231,False,True,0.202049793689801,,3.603774859645975,0.5567262498321919,1.00006913718226,0.1280040174041986,0,0,0.18062499999999998,0.21936793099670343
cit-HepPh,34546,0.85,dynamic_safe,153,152,0.05280920793302357,True,False,7.839019340056243e-13,0.8235294117647058,3.603774859645975,0.5567262498321919,0.84362215237326,6.592111059767428e-13,0,0,0.18062499999999998,0.18062499999995243
cit-HepPh,34546,0.85,dynamic_guard,153,152,0.05177204217761755,True,False,7.839019340056243e-13,0.8235294117647058,3.603774859645975,0.5567262498321919,0.84362215237326,6.592111059767428e-13,0,0,0.18062499999999998,0.18062499999995243
cit-HepPh,34546,0.9,power,193,192,0.06567791709676385,True,False,9.75212883409485e-13,1.0,4.433779629746542,0.9,0.899987868865181,1.629115408113141e-16,0,0,0.2025,0.0
cit-HepPh,34546,0.9,static_d,526,525,0.18131591705605388,True,False,9.064544013805085e-13,0.3669201520912547,4.433779629746542,0.6267890062732586,0.949499973287178,9.277825784790835e-13,0,0,0.2025,0.2025
cit-HepPh,34546,0.9,dynamic_paper,1005,1004,0.3439287501387298,False,True,0.23238204654813174,,4.433779629746542,0.6267890062732586,0.9998617235061836,0.18807089145056022,0,0,0.2025,0.21303358161569463
cit-HepPh,34546,0.9,dynamic_safe,491,490,0.16641912492923439,True,False,9.234103734227768e-13,0.39307535641547864,4.433779629746542,0.6267890062732586,0.9495031661929314,9.50480823604452e-13,0,0,0.2025,0.2025000000000446
cit-HepPh,34546,0.9,dynamic_guard,161,157,0.05438237497583032,True,False,9.358746913616767e-13,1.1987577639751552,4.433779629746542,0.6267890062732586,0.8871481286646242,1.7072809637384834e-14,0,1,0.2025,0.050624999999994195
cit-HepPh,34546,0.95,power,395,394,0.1277132499963045,True,False,9.700184362936448e-13,1.0,6.297829826079716,0.95,0.9499871541421263,0.0,0,0,0.225625,0.0
cit-HepPh,34546,0.95,static_d,1004,1003,0.33942208299413323,False,True,0.49550942612206417,,6.297829826079716,0.7239474737685053,1.000106932330805,1.3254768874391956,0,0,0.225625,0.225625
cit-HepPh,34546,0.95,dynamic_paper,1005,1004,0.33629825012758374,False,True,0.20444045764772895,,6.297829826079716,0.7239474737685053,0.9997213001553474,0.2731600884269216,0,0,0.225625,0.21646505899905127
cit-HepPh,34546,0.95,dynamic_safe,173,166,0.05817845789715648,True,False,9.550451209589934e-13,2.2832369942196533,6.297829826079716,0.7239474737685053,0.8736883256951137,1.4335243197572192e-14,0,2,0.225625,0.22562499999991306
cit-HepPh,34546,0.95,dynamic_guard,354,350,0.11808474990539253,True,False,9.887406134591256e-13,1.115819209039548,6.297829826079716,0.7239474737685053,0.942930831200827,1.7371017750861077e-14,0,1,0.225625,0.05640624999999746
cit-HepPh,34546,0.99,power,2005,2004,0.637475083116442,True,False,9.96520116688586e-13,1.0,14.130317913366113,0.99,0.9899866454920296,0.0,0,0,0.245025,0.0
cit-HepPh,34546,0.99,static_d,1004,1003,0.3436830001883209,False,True,0.5210350445774083,,14.130317913366113,0.8676087274781222,1.0001374531786082,1.3143871846148942,0,0,0.245025,0.245025
cit-HepPh,34546,0.99,dynamic_paper,1005,1004,0.3421097081154585,False,True,0.2643378508632921,,14.130317913366113,0.8676087274781222,1.000236804027618,0.24483197507758353,0,0,0.245025,0.20645572343778856
cit-HepPh,34546,0.99,dynamic_safe,492,473,0.16838912502862513,True,False,6.896923031494655e-12,4.07520325203252,14.130317913366113,0.8676087274781222,0.9488465638591069,1.9688374703079239e-13,3,6,0.245025,0.24502500000004984
cit-HepPh,34546,0.99,dynamic_guard,1749,1745,0.5933781669009477,True,False,9.93525002827756e-13,1.1463693539165238,14.130317913366113,0.8676087274781222,0.988465335935308,1.481383290639687e-14,3,1,0.245025,0.061256250000004134
cit-HepPh,34546,0.999,power,19665,19664,6.374786084052175,True,False,9.999555793663088e-13,1.0,44.717631744576906,0.999,0.9989888991414329,0.0,0,0,0.24950025,0.0
cit-HepPh,34546,0.999,static_d,1004,1003,0.35266129206866026,False,True,0.5267949123044331,,44.717631744576906,0.95624606825604,1.0001442773098406,1.2123018201595441,0,0,0.24950025,0.24950025
cit-HepPh,34546,0.999,dynamic_paper,1005,1004,0.3482463750988245,False,True,0.22658482382280892,,44.717631744576906,0.95624606825604,1.0000026184362951,0.33618015769213505,0,0,0.24950025,0.20598356554788277
cit-HepPh,34546,0.999,dynamic_safe,17568,17525,6.0246796670835465,True,False,9.997150300929695e-13,1.1193647540983607,44.717631744576906,0.95624606825604,0.9989896298855009,6.512629994212364e-14,3,14,0.24950025,0.0
cit-HepPh,34546,0.999,dynamic_guard,17043,17039,5.830911915982142,True,False,9.996982018257228e-13,1.1538461538461537,44.717631744576906,0.95624606825604,0.9988258442347352,2.559900940312873e-14,3,1,0.24950025,0.06237506250006165
web-Stanford,281903,0.85,power,152,151,0.5038944580592215,True,False,8.613677804511963e-13,1.0,3.603774859645975,0.85,0.8496043664176895,0.0,0,0,0.18062499999999998,0.0
web-Stanford,281903,0.85,static_d,1014,1013,3.5831327908672392,False,True,0.8473015769602272,,3.603774859645975,0.5567262498321919,1.0000008196471366,1.9998057413285761,0,0,0.18062499999999998,0.18062499999999998
web-Stanford,281903,0.85,dynamic_paper,1006,1005,3.5663743750192225,False,True,0.7660110396921175,,3.603774859645975,0.5567262498321919,1.000003487408081,0.24381109264990553,0,0,0.18062499999999998,0.0706407483552521
web-Stanford,281903,0.85,dynamic_safe,362,349,1.3173344999086112,True,False,9.020104931182395e-13,0.4198895027624309,3.603774859645975,0.5567262498321919,0.9355515780242475,5.546165187519388e-13,0,4,0.18062499999999998,0.026151797287525674
web-Stanford,281903,0.85,dynamic_guard,312,308,1.111210250062868,True,False,9.59081045540087e-13,0.48717948717948717,3.603774859645975,0.5567262498321919,0.9299486793665495,5.590662121580361e-13,0,1,0.18062499999999998,0.04515625000000027
web-Stanford,281903,0.9,power,233,232,0.760105875087902,True,False,9.80858820070544e-13,1.0,4.433779629746542,0.9,0.8997629108031658,1.5833592176980557e-16,0,0,0.2025,0.0
web-Stanford,281903,0.9,static_d,1003,1002,3.6346111248712987,False,True,0.8963663836874685,,4.433779629746542,0.6267890062732586,0.9999987404022141,1.9998081122620381,0,0,0.2025,0.2025
web-Stanford,281903,0.9,dynamic_paper,1006,1005,3.7096690840553492,False,True,0.8349520794757731,,4.433779629746542,0.6267890062732586,1.0000033519377078,0.28622569653775154,0,0,0.2025,0.04891909004162852
web-Stanford,281903,0.9,dynamic_safe,485,469,1.762192792026326,True,False,8.85915129186799e-13,0.48041237113402063,4.433779629746542,0.6267890062732586,0.9318530185176588,5.714383968374633e-13,0,5,0.2025,0.023507477149406427
web-Stanford,281903,0.9,dynamic_guard,286,279,1.0148765419144183,True,False,9.42809823412444e-13,0.8146853146853147,4.433779629746542,0.6267890062732586,0.9186865945486544,5.311262944856952e-13,0,2,0.2025,0.012656249999999956
web-Stanford,281903,0.95,power,478,477,1.5924344591330737,True,False,9.788256240576043e-13,1.0,6.297829826079716,0.95,0.949892992857045,0.0,0,0,0.225625,0.0
web-Stanford,281903,0.95,static_d,1003,1002,3.6429452078882605,False,True,0.9460018768265943,,6.297829826079716,0.7239474737685053,0.9999983274100296,1.9997989845314217,0,0,0.225625,0.225625
web-Stanford,281903,0.95,dynamic_paper,1006,1005,3.6580722499638796,False,True,0.909925170195428,,6.297829826079716,0.7239474737685053,1.000003150727565,0.35177423118500295,0,0,0.225625,0.025956692526230583
web-Stanford,281903,0.95,dynamic_safe,1059,1031,3.8334929591510445,True,False,9.641400767115336e-13,0.4513692162417375,6.297829826079716,0.7239474737685053,0.9748381476604505,4.691149692449974e-13,4,9,0.225625,0.019384567820295556
web-Stanford,281903,0.95,dynamic_guard,832,825,2.986530957976356,True,False,9.694243461585112e-13,0.5745192307692307,6.297829826079716,0.7239474737685053,0.9713853014925107,4.3581595955982705e-13,4,2,0.225625,0.01410156249999997
web-Stanford,281903,0.99,power,2428,2427,7.975299709010869,True,False,9.98724395356519e-13,1.0,14.130317913366113,0.99,0.9899941952740186,0.0,0,0,0.245025,0.0
web-Stanford,281903,0.99,static_d,1003,1002,3.645793000003323,False,True,0.9857052414345759,,14.130317913366113,0.8676087274781222,0.9999980147013293,1.9997973739675272,0,0,0.245025,0.245025
web-Stanford,281903,0.99,dynamic_paper,1006,1005,3.6596652909647673,False,True,0.9430927481678486,,14.130317913366113,0.8676087274781222,0.9998979499735415,1.9984447176046343,0,0,0.245025,0.0029373809075384305
web-Stanford,281903,0.99,dynamic_safe,3927,3896,14.10837220819667,True,False,9.900388888295243e-13,0.6182836771072066,14.130317913366113,0.8676087274781222,0.9927733088201522,2.893514063977123e-13,5,10,0.245025,0.0020716933209056244
web-Stanford,281903,0.99,dynamic_guard,5453,5443,19.815811125095934,True,False,9.92372264570385e-13,0.44525949018888683,14.130317913366113,0.8676087274781222,0.9953824452244183,2.8945035796451574e-13,5,3,0.245025,0.003828515625000007
web-Stanford,281903,0.999,power,23886,23885,101.30819708388299,True,False,9.98972280053653e-13,1.0,44.717631744576906,0.999,0.9989861991074268,1.6125919832049297e-16,0,0,0.24950025,0.0
web-Stanford,281903,0.999,static_d,1003,1002,4.554878459079191,False,True,0.9946379574838171,,44.717631744576906,0.95624606825604,0.9999979464753844,1.9997919740350607,0,0,0.24950025,0.24950025
web-Stanford,281903,0.999,dynamic_paper,1006,1005,4.580261999974027,False,True,0.9492553379556804,,44.717631744576906,0.95624606825604,0.9998918834165781,1.9970440358399064,0,0,0.24950025,0.003167521759237431
web-Stanford,281903,0.999,dynamic_safe,33945,33914,149.43784833303653,True,False,9.990411750786084e-13,0.7036676977463544,44.717631744576906,0.95624606825604,0.9992238205697787,3.7115261009027947e-13,5,10,0.24950025,0.00018253229405818406
web-Stanford,281903,0.999,dynamic_guard,23939,23908,94.03442049981095,True,False,9.970213471157714e-13,0.997786039517106,44.717631744576906,0.95624606825604,0.9989888821423346,1.5648056853918717e-14,5,10,0.24950025,0.0
wiki-Vote,7115,0.85,power,39,38,0.003534208983182907,True,False,5.282302429862019e-13,1.0,3.603774859645975,0.85,0.4932108079851709,3.330533548603909e-16,0,0,0.18062499999999998,0.0
wiki-Vote,7115,0.85,static_d,78,77,0.007042833138257265,True,False,9.326372228261045e-13,0.5,3.603774859645975,0.5567262498321919,0.7050920285622494,5.554109825051459e-13,0,0,0.18062499999999998,0.18062499999999998
wiki-Vote,7115,0.85,dynamic_paper,1018,1017,0.092151208082214,False,True,0.13281215435507,,3.603774859645975,0.5567262498321919,0.9971967389848866,0.06123100915711854,0,0,0.18062499999999998,0.23880388581106726
wiki-Vote,7115,0.85,dynamic_safe,68,67,0.0062198331579566,True,False,8.870587393731082e-13,0.5735294117647058,3.603774859645975,0.5567262498321919,0.7045279864468053,5.181094133365968e-13,0,0,0.18062499999999998,0.18062500000001153
wiki-Vote,7115,0.85,dynamic_guard,68,67,0.006206499878317118,True,False,8.870587393731082e-13,0.5735294117647058,3.603774859645975,0.5567262498321919,0.7045279864468053,5.181094133365968e-13,0,0,0.18062499999999998,0.18062500000001153
wiki-Vote,7115,0.9,power,42,41,0.003648999845609069,True,False,6.980970987672191e-13,1.0,4.433779629746542,0.9,0.5233379541328042,0.0,0,0,0.2025,0.0
wiki-Vote,7115,0.9,static_d,117,116,0.010505333077162504,True,False,8.992906222599777e-13,0.358974358974359,4.433779629746542,0.6267890062732586,0.7936548658210713,6.1869166880597e-13,0,0,0.2025,0.2025
wiki-Vote,7115,0.9,dynamic_paper,1018,1017,0.08938675001263618,False,True,0.14927259475600316,,4.433779629746542,0.6267890062732586,0.9996464468274907,0.07287743157213508,0,0,0.2025,0.2395985462448688
wiki-Vote,7115,0.9,dynamic_safe,100,99,0.00879745907150209,True,False,9.154099978223713e-13,0.42,4.433779629746542,0.6267890062732586,0.7951078358272873,6.359505478649441e-13,0,0,0.2025,0.20249999999999302
wiki-Vote,7115,0.9,dynamic_guard,100,99,0.008572708116844296,True,False,9.154099978223713e-13,0.42,4.433779629746542,0.6267890062732586,0.7951078358272873,6.359505478649441e-13,0,0,0.2025,0.20249999999999302
wiki-Vote,7115,0.95,power,46,45,0.003995957784354687,True,False,6.384689200460436e-13,1.0,6.297829826079716,0.95,0.5536325349751514,2.0412138776113031e-16,0,0,0.225625,0.0
wiki-Vote,7115,0.95,static_d,301,300,0.025705707957968116,True,False,9.467766649166451e-13,0.15282392026578073,6.297829826079716,0.7239474737685053,0.9177117822163054,6.667645087313559e-13,0,0,0.225625,0.225625
