r,theta_over_pi,theta,n,symmetric,max_abs_imag,method,matvecs,converged,diverged,residual,speedup,predicted_speedup,mu_subdominant,mu_dominant,theory_diverges,beta,backtracks
0.85,0.0,0.0,81,True,0.0,power,162,True,False,9.18672966064434e-13,1.0,3.603774859645975,0.42500000000000004,0.7633913438213185,False,0.18062499999999998,0
0.85,0.0,0.0,81,True,0.0,static,52,True,False,8.725969380123678e-13,3.1153846153846154,3.603774859645975,0.42500000000000004,0.7633913438213185,False,0.18062499999999998,0
0.85,0.0,0.0,81,True,0.0,dynamic,75,True,False,7.455819539861947e-13,2.16,3.603774859645975,0.42500000000000004,0.7633913438213185,False,0.18062499999999998,0
0.85,0.0,0.0,81,True,0.0,dynamic_safe,55,True,False,8.09423928385125e-13,2.9454545454545453,3.603774859645975,0.42500000000000004,0.7633913438213185,False,0.18062499999999998,0
0.85,0.02,0.06283185307179587,81,False,0.053371941599916366,power,162,True,False,9.847700867897795e-13,1.0,3.603774859645975,0.5446365160631484,0.7633913438213185,False,0.18062499999999998,0
0.85,0.02,0.06283185307179587,81,False,0.053371941599916366,static,80,True,False,7.387536750212167e-13,2.025,3.603774859645975,0.5446365160631484,0.7633913438213185,False,0.18062499999999998,0
0.85,0.02,0.06283185307179587,81,False,0.053371941599916366,dynamic,1023,False,True,0.029021741956812917,,3.603774859645975,0.5446365160631484,0.7633913438213185,False,0.18062499999999998,0
0.85,0.02,0.06283185307179587,81,False,0.053371941599916366,dynamic_safe,81,True,False,9.129577017977469e-13,2.0,3.603774859645975,0.5446365160631484,0.7633913438213185,False,0.18062499999999998,0
0.85,0.05,0.15707963267948966,81,False,0.13296929528419624,power,164,True,False,9.221042197388606e-13,1.0,3.603774859645975,0.6251301200112398,0.7633913438213185,False,0.18062499999999998,0
0.85,0.05,0.15707963267948966,81,False,0.13296929528419624,static,133,True,False,9.390263596520343e-13,1.2330827067669172,3.603774859645975,0.6251301200112398,0.7633913438213185,False,0.18062499999999998,0
0.85,0.05,0.15707963267948966,81,False,0.13296929528419624,dynamic,1016,False,True,0.08547531974069157,,3.603774859645975,0.6251301200112398,0.7633913438213185,False,0.18062499999999998,0
0.85,0.05,0.15707963267948966,81,False,0.13296929528419624,dynamic_safe,133,True,False,9.148550318468407e-13,1.2330827067669172,3.603774859645975,0.6251301200112398,0.7633913438213185,False,0.18062499999999998,0
0.85,0.1,0.3141592653589793,81,False,0.2626644452187053,power,167,True,False,8.834262068585307e-13,1.0,3.603774859645975,0.7225067047518856,0.7633913438213185,False,0.18062499999999998,0
0.85,0.1,0.3141592653589793,81,False,0.2626644452187053,static,484,True,False,9.751642740441765e-13,0.3450413223140496,3.603774859645975,0.7225067047518856,0.7633913438213185,False,0.18062499999999998,0
0.85,0.1,0.3141592653589793,81,False,0.2626644452187053,dynamic,1014,False,True,0.2166311276399419,,3.603774859645975,0.7225067047518856,0.7633913438213185,False,0.18062499999999998,0
0.85,0.1,0.3141592653589793,81,False,0.2626644452187053,dynamic_safe,469,True,False,9.572680770276728e-13,0.35607675906183367,3.603774859645975,0.7225067047518856,0.7633913438213185,False,0.18062499999999998,0
0.85,0.15,0.47123889803846897,81,False,0.3858919247786148,power,169,True,False,8.948813676386306e-13,1.0,3.603774859645975,0.7988314685963162,0.7633913438213185,True,0.18062499999999998,0
0.85,0.15,0.47123889803846897,81,False,0.3858919247786148,static,1002,False,True,0.38589192477861484,,3.603774859645975,0.7988314685963162,0.7633913438213185,True,0.18062499999999998,0
0.85,0.15,0.47123889803846897,81,False,0.3858919247786148,dynamic,1012,False,True,0.35799994335467694,,3.603774859645975,0.7988314685963162,0.7633913438213185,True,0.18062499999999998,0
0.85,0.15,0.47123889803846897,81,False,0.3858919247786148,dynamic_safe,319,True,False,9.462138934880635e-13,0.5297805642633229,3.603774859645975,0.7988314685963162,0.7633913438213185,True,0.18062499999999998,5
0.85,0.2,0.6283185307179586,81,False,0.49961746444860217,power,170,True,False,9.831988769136099e-13,1.0,3.603774859645975,0.8613666471020262,0.7633913438213185,True,0.18062499999999998,0
0.85,0.2,0.6283185307179586,81,False,0.49961746444860217,static,1002,False,True,0.4996174644486021,,3.603774859645975,0.8613666471020262,0.7633913438213185,True,0.18062499999999998,0
0.85,0.2,0.6283185307179586,81,False,0.49961746444860217,dynamic,1003,False,True,0.47929898992725756,,3.603774859645975,0.8613666471020262,0.7633913438213185,True,0.18062499999999998,0
